frame,time_s,p1_status,p1_x_px,p1_y_px,p1_dx_px,p1_dy_px,p1_disp_px,p1_dx_mm,p1_dy_mm,p1_disp_mm,p2_status,p2_x_px,p2_y_px,p2_dx_px,p2_dy_px,p2_disp_px,p2_dx_mm,p2_dy_mm,p2_disp_mm,p3_status,p3_x_px,p3_y_px,p3_dx_px,p3_dy_px,p3_disp_px,p3_dx_mm,p3_dy_mm,p3_disp_mm
1,0.03334867452135493,1,311.6263732910156,911.5419921875,-0.373626708984375,-0.4580078125,0.5910736620570485,-0.037888948391596775,-0.0464459150094817,0.059939931859229544,1,301.4012145996094,1065.1126708984375,-0.598785400390625,0.1126708984375,0.6092935967788227,-0.060721968177041605,0.011425794124134223,0.061787589293164316,1,356.3445739746094,1186.9698486328125,-0.655426025390625,-0.0301513671875,0.6561191810202074,-0.06646581267714809,-0.0030576068782894403,0.0665361045948431
2,0.06669734904270987,1,312.0617370605469,911.6611938476562,0.061737060546875,-0.33880615234375,0.3443850657490026,0.006260666715363904,-0.03435784571130503,0.034923595313809064,1,301.65936279296875,1065.0699462890625,-0.34063720703125,0.0699462890625,0.3477444322597638,-0.034543530339541224,0.007093152798622871,0.035264263850864896,1,356.82952880859375,1187.2001953125,-0.17047119140625,0.2001953125,0.26294218042459255,-0.017287238888790298,0.020301519353824623,0.026664589186256357
3,0.10004602356406479,1,311.677978515625,911.294189453125,-0.322021484375,-0.705810546875,0.775800466923722,-0.03265573661913985,-0.07157523469744755,0.07867281205177129,1,301.4038391113281,1065.2071533203125,-0.596160888671875,0.2071533203125,0.6311262181992862,-0.060455820209903054,0.021007120941122188,0.06400160410088998,1,356.4963073730469,1186.838134765625,-0.503692626953125,-0.161865234375,0.5290620157847411,-0.05107874648397491,-0.016414521136080152,0.05365141979948901
4,0.13339469808541973,1,311.79974365234375,911.6077270507812,-0.20025634765625,-0.39227294921875,0.4404323687757257,-0.020307708841432497,-0.03977983685580209,0.0446636144827378,1,301.6278076171875,1065.1571044921875,-0.3721923828125,0.1571044921875,0.4039913257597727,-0.037743495432811754,0.01593174110266603,0.040968180604574814,1,356.6273193359375,1187.4033203125,-0.3726806640625,0.4033203125,0.5491431068866872,-0.03779301133367474,0.04090013411282717,0.055687814431116936
5,0.16674337260677466,1,312.2480773925781,911.5136108398438,0.248077392578125,-0.48638916015625,0.546000739766773,0.025157172382201276,-0.04932402674714281,0.0553691514908857,1,301.89013671875,1065.20556640625,-0.10986328125,0.20556640625,0.23308257752469755,-0.011141077694172049,0.020846194263317477,0.023636569705681672,1,356.9613342285156,1187.1036376953125,-0.038665771484375,0.1036376953125,0.11061561270529803,-0.003921040399587774,0.010509749958168967,0.011217370547433657
6,0.20009204712812959,1,311.7353820800781,911.733642578125,-0.264617919921875,-0.266357421875,0.3754582796152944,-0.026834523523934957,-0.027010923920759346,0.038074685340914745,1,301.4516296386719,1065.1534423828125,-0.548370361328125,0.1534423828125,0.5694335940443944,-0.05560945141293821,0.015560371846193629,0.057745443616269425,1,356.68603515625,1187.16796875,-0.31396484375,0.16796875,0.35607221751707113,-0.031838724254900565,0.01703346989686749,0.03610877260316508
7,0.23344072164948454,1,312.13934326171875,911.5745849609375,0.13934326171875,-0.4254150390625,0.4476544426753391,0.014130600208774883,-0.043140728626877324,0.04539599463298608,1,301.8729553222656,1064.9559326171875,-0.127044677734375,-0.0440673828125,0.13447038472680375,-0.0128834184557884,-0.004468810052884567,0.013636448745758967,1,357.0769958496094,1187.0521240234375,0.076995849609375,0.0521240234375,0.09297996922123894,0.007808038617332244,0.00528582241712385,0.009428965249438596
8,0.26678939617083947,1,311.6939392089844,911.2686767578125,-0.306060791015625,-0.7313232421875,0.7927842659644216,-0.031037185609680967,-0.0741624405175386,0.08039511474018331,1,301.4821472167969,1064.934814453125,-0.517852783203125,-0.065185546875,0.5219393265434361,-0.05251470760900153,-0.0066103727652087494,0.05292911810481955,1,356.70843505859375,1186.6295166015625,-0.29156494140625,-0.3704833984375,0.4714531403809178,-0.029567182302811044,-0.0375701897797913,0.04780938641540171
9,0.3001380706921944,1,311.9161682128906,911.673095703125,-0.083831787109375,-0.326904296875,0.3374821296680607,-0.00850126122941406,-0.03315089562776972,0.03422357847177908,1,301.7455749511719,1064.8603515625,-0.254425048828125,-0.1396484375,0.2902305834459649,-0.025800879093420104,-0.01416154764681425,0.02943186697690571,1,356.83404541015625,1186.8564453125,-0.16595458984375,-0.1435546875,0.21942851727482904,-0.016829216805807668,-0.014557674853718144,0.022251931049764126
10,0.3334867452135493,1,311.7297668457031,911.2520751953125,-0.270233154296875,-0.7479248046875,0.7952467988920633,-0.027403956383859306,-0.07584598114688017,0.08064483667056041,1,301.3780822753906,1064.921630859375,-0.621917724609375,-0.078369140625,0.6268360059741331,-0.0630677839804256,-0.007947302088509396,0.06356653983573163,1,356.5833740234375,1186.871826171875,-0.4166259765625,-0.128173828125,0.43589647229918466,-0.04224944241134356,-0.012997923976534058,0.0442036357302111
